Person,Trial_no,Blink_s0,Blink_s1,Blink_s2,Velo_s0,Velo_s1,Velo_s2,Velo_s3,Velo_s4,Velo_s5
01,0,0.015051095457749802,0.0372294660649559,0.022061803022986017,0.5170493969015226,0.1845653416817927,0.08502772643253234,0.044095851859252966,0.024296015053870877,0.0706233035253368
01,1,0.0102029369773608,0.02986436875382419,0.005098919029165817,0.8228329594126045,0.08989394248419336,0.02158882316948807,0.005313073628390781,0.0024576789720579238,0.012747297572914542
01,2,0.009450828442872998,0.03827519057841463,0.02271654825438812,0.6112997879877445,0.1861454311026631,0.06323149212763271,0.021653163900759654,0.01027495131693506,0.03695260628858922
01,3,0.006416181154995131,0.022442192477182328,0.030153988347719884,0.8475713413325852,0.04495865586162505,0.0160012543531004,0.00792223010777534,0.004910132202214924,0.019624024162801828
01,4,0.0038201741843955877,0.051097606005669184,0.0935442943088844,0.6585691559802661,0.08368291443753766,0.04212741502472286,0.02269894195611797,0.010416637746985645,0.03404286035542057
01,5,0.009407067070034263,0.029159873642484953,0.027892811164099123,0.6218312540140597,0.1319721130010491,0.0692234592549324,0.04184793506595409,0.021586559838187986,0.04707892694919835
01,6,0.006238324662616825,0.01860306291984585,0.011001718839223969,0.7474224585426883,0.10158655460255789,0.04281315729817987,0.024396612825008393,0.013257157286701808,0.03468095302317707
01,7,0.00646989718480153,0.03965545332155689,0.029592597991716475,0.7627961617945925,0.0842072768121286,0.033828687069638215,0.015460867626503854,0.0073831431094951855,0.0206059150895667
01,8,0.025674013123081808,0.041849666631389566,0.123806090591597,0.5040149751296433,0.10804714784633294,0.0515464599428511,0.03168324690443433,0.02609403111440364,0.08728436871626627
01,9,0.0068260755468424385,0.0687238542165141,0.055429832821351936,0.6146493570645714,0.12292493169293466,0.04967505904509038,0.026699186489865856,0.013133480495824393,0.041938222627004834
01,10,0.008072817563057189,0.042360456918978606,0.020893250400833483,0.701935854165237,0.1150282922933914,0.05059547947171083,0.0200759867990093,0.012477306898079119,0.028560555489703102
01,11,0.04742161181653278,0.04044491398728248,0.15096909655085347,0.42420980591491086,0.12007893635258238,0.06186005408601936,0.04043826951315938,0.023866951050159135,0.09071036072850014
02,0,0.031594317964149986,0.028068724095907258,0.04109954111758549,0.6387876398786307,0.11481776566182615,0.0488364152205717,0.025289889873772637,0.01670076591444744,0.0548049402731086
02,1,0.03309919060304912,0.023140908419460163,0.0834661953249558,0.7567071959412996,0.043388566567678116,0.012418563664240344,0.00605137556731646,0.0042787504011328505,0.03744925351086752
02,2,0.02979523249712741,0.02573707666660025,0.10115501358253465,0.6884518567225244,0.06639169506047382,0.02693924721541435,0.01016199414190926,0.008275715490731332,0.043092168622684494
02,3,0.002601046518213861,0.011327840782840935,0.8490739490160027,0.11470745851178313,0.007363096508846608,0.004095450129180954,0.0012199213150751776,0.0015771839859186226,0.008034053232137956
02,4,0.01677542195293223,0.031544121524664924,0.04151112023958545,0.7419987843092628,0.06905567474999237,0.033084551568324315,0.016409049402007832,0.010441617701345308,0.03917965855188474
02,5,0.05460572378149576,0.03840354664117857,0.18364210532431954,0.5736041346491852,0.05319961767858855,0.01737877418923748,0.010818882494269537,0.006280994616705354,0.06206622062501997
